id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,charge,feature_group,ion_identities:iin_id,ion_identities:ion_identities,ion_identities:list_size,ion_identities:neutral_mass,ion_identities:partner_row_ids,ion_identities:iin_relationship,ion_identities:consensus_formulas,ion_identities:simple_formulas,datafile:202406251802_PMA_dbgi_003101_01_01.mzML:feature_state,datafile:202406251802_PMA_dbgi_003101_01_01.mzML:mz,datafile:202406251802_PMA_dbgi_003101_01_01.mzML:mz_range:min,datafile:202406251802_PMA_dbgi_003101_01_01.mzML:mz_range:max,datafile:202406251802_PMA_dbgi_003101_01_01.mzML:rt,datafile:202406251802_PMA_dbgi_003101_01_01.mzML:rt_range:min,datafile:202406251802_PMA_dbgi_003101_01_01.mzML:rt_range:max,datafile:202406251802_PMA_dbgi_003101_01_01.mzML:height,datafile:202406251802_PMA_dbgi_003101_01_01.mzML:area,datafile:202406251802_PMA_dbgi_003101_01_01.mzML:intensity_range:min,datafile:202406251802_PMA_dbgi_003101_01_01.mzML:intensity_range:max,datafile:202406251802_PMA_dbgi_003101_01_01.mzML:fwhm,datafile:202406251802_PMA_dbgi_003101_01_01.mzML:tailing_factor,datafile:202406251802_PMA_dbgi_003101_01_01.mzML:asymmetry_factor,datafile:202406251802_PMA_dbgi_003101_01_01.mzML:fragment_scans,datafile:202406251802_PMA_dbgi_003101_01_01.mzML:rt_ms2_apex_distance,datafile:202406251802_PMA_dbgi_003101_01_01.mzML:isotopes,datafile:202406251802_PMA_dbgi_003101_01_01.mzML:charge
1,0.4891,0.3123,0.5719,226.96347,226.96159,226.9644,6.862E5,4.342E4,9.172E3,6.862E5,1,1,2,,,,,,,,,DETECTED,226.96347,226.96159,226.9644,0.4891,0.3123,0.5719,6.862E5,4.342E4,9.172E3,6.862E5,0.0737,1.7896,2.7582,1,-0.0045,3,1
4,0.4891,0.4406,0.5496,275.90365,275.9014,275.90393,8.733E5,3.795E4,7.815E3,8.733E5,1,1,2,,,,,,,,,DETECTED,275.90365,275.9014,275.90393,0.4891,0.4406,0.5496,8.733E5,3.795E4,7.815E3,8.733E5,0.0426,1.3626,1.8438,1,-0.0135,4,1
9,0.4891,0.4641,0.514,353.88095,353.87976,353.8822,5.107E4,1.659E3,2.069E4,5.107E4,0,1,2,,,,,,,,,DETECTED,353.88095,353.87976,353.8822,0.4891,0.4641,0.514,5.107E4,1.659E3,2.069E4,5.107E4,0.0349,0.9973,0.9947,,,2,1
14,0.4991,0.4583,0.5389,230.90634,230.90614,230.90654,2.24E5,9.957E3,3.057E4,2.24E5,1,1,2,,,,,,,,,DETECTED,230.90634,230.90614,230.90654,0.4991,0.4583,0.5389,2.24E5,9.957E3,3.057E4,2.24E5,0.0439,0.9877,1.1105,1,-0.0027,3,1
15,0.4991,0.4583,0.5496,304.90818,304.90747,304.91,2.396E5,1.092E4,1.844E4,2.396E5,1,1,2,,,,,,,,,DETECTED,304.90818,304.90747,304.91,0.4991,0.4583,0.5496,2.396E5,1.092E4,1.844E4,2.396E5,0.0447,1.0855,1.1536,1,0.0057,6,1
22,0.4991,0.4641,0.5496,386.93711,386.93594,386.93787,6.665E5,2.161E4,1.631E4,6.665E5,1,1,2,,,,,,,,,DETECTED,386.93711,386.93594,386.93787,0.4991,0.4641,0.5496,6.665E5,2.161E4,1.631E4,6.665E5,0.0307,1.2313,1.4609,1,-0.0044,5,1
27,0.4991,0.4641,0.5207,391.88186,391.88028,391.88287,7.02E4,2.074E3,1.051E4,7.02E4,0,1,2,,,,,,,,,DETECTED,391.88186,391.88028,391.88287,0.4991,0.4641,0.5207,7.02E4,2.074E3,1.051E4,7.02E4,0.0299,0.8079,0.7416,,,4,1
28,0.4991,0.4716,0.5389,402.91381,402.91315,402.91544,2.839E5,9.35E3,4.54E4,2.839E5,1,1,2,,,,,,,,,DETECTED,402.91381,402.91315,402.91544,0.4991,0.4716,0.5389,2.839E5,9.35E3,4.54E4,2.839E5,0.0322,1.2223,2.0158,1,0.004,4,1
32,0.5092,0.4538,0.6477,158.97593,158.97461,158.97609,1.628E7,1.21E6,1.115E5,1.628E7,3,1,2,,,,,,,,,DETECTED,158.97593,158.97461,158.97609,0.5092,0.4538,0.6477,1.628E7,1.21E6,1.115E5,1.628E7,0.0732,1.4429,1.71,3,-0.0411,5,1
37,0.5092,0.3049,0.5389,225.89478,225.89442,225.89545,3.247E5,3.368E4,2.315E4,3.247E5,0,1,,,,,,,,,,DETECTED,225.89478,225.89442,225.89545,0.5092,0.3049,0.5389,3.247E5,3.368E4,2.315E4,3.247E5,0.2024,0.5537,0.0569,,,4,1
39,0.5092,0.4641,0.5496,244.96116,244.96033,244.96164,2.929E5,1.218E4,1.866E4,2.929E5,1,1,2,,,,,,,,,DETECTED,244.96116,244.96033,244.96164,0.5092,0.4641,0.5496,2.929E5,1.218E4,1.866E4,2.929E5,0.0436,1.0281,1.1376,1,-0.0027,4,1
41,0.5092,0.4583,0.5719,272.95778,272.95651,272.9581,6.872E6,2.935E5,1.674E4,6.872E6,2,1,2,,,,,,,,,DETECTED,272.95778,272.95651,272.9581,0.5092,0.4583,0.5719,6.872E6,2.935E5,1.674E4,6.872E6,0.0468,1.0339,0.8709,2,-0.0319,5,1
44,0.5092,0.4583,0.5719,288.93483,288.93253,288.93643,1.411E6,5.969E4,1.184E4,1.411E6,2,1,2,,,,,,,,,DETECTED,288.93483,288.93253,288.93643,0.5092,0.4583,0.5719,1.411E6,5.969E4,1.184E4,1.411E6,0.045,1.1463,1.0905,2,-0.0229,4,1
47,0.514,0.3049,0.5389,173.92297,173.92282,173.92311,6.709E5,7.244E4,1.474E5,6.709E5,4,1,2,,,,,,,,,DETECTED,173.92297,173.92282,173.92311,0.514,0.3049,0.5389,6.709E5,7.244E4,1.474E5,6.709E5,0.0516,0.5595,0.1189,4,-0.1994,2,1
48,0.514,0.3049,0.5938,174.9532,174.95261,174.95364,3.449E6,3.12E5,2.243E5,3.449E6,5,1,2,,,,,,,,,DETECTED,174.9532,174.95261,174.95364,0.514,0.3049,0.5938,3.449E6,3.12E5,2.243E5,3.449E6,0.0665,0.6909,0.3779,5,-0.1632,2,1
49,0.514,0.3049,0.5389,178.97462,178.9743,178.97475,8.044E5,9.863E4,8.776E4,8.044E5,5,1,,,,,,,,,,DETECTED,178.97462,178.9743,178.97475,0.514,0.3049,0.5389,8.044E5,9.863E4,8.776E4,8.044E5,0.0725,0.5595,0.1189,5,-0.2068,3,1
55,0.5207,0.4641,0.5496,356.91927,356.91763,356.9227,2.738E5,1.054E4,1.324E4,2.738E5,0,1,100,,,,,,,,,DETECTED,356.91927,356.91763,356.9227,0.5207,0.4641,0.5496,2.738E5,1.054E4,1.324E4,2.738E5,0.0343,0.7958,0.6936,,,4,1
56,0.5207,0.4891,0.5496,424.90462,424.90204,424.90854,1.181E5,3.578E3,2.378E4,1.181E5,0,1,100,,,,,,,,,DETECTED,424.90462,424.90204,424.90854,0.5207,0.4891,0.5496,1.181E5,3.578E3,2.378E4,1.181E5,0.039,0.9585,0.9169,,,3,1
57,0.5272,0.4991,0.5938,242.93778,242.93661,242.93928,3.221E6,1.371E5,4.189E5,3.221E6,2,1,9,,,,,,,,,DETECTED,242.93778,242.93661,242.93928,0.5272,0.4991,0.5938,3.221E6,1.371E5,4.189E5,3.221E6,0.0386,1.6868,3.7903,2,-0.0092,4,1
60,0.5272,0.4991,0.5608,310.92574,310.9245,310.92657,2.314E5,6.424E3,6.07E4,2.314E5,0,1,9,,,,,,,,,DETECTED,310.92574,310.9245,310.92657,0.5272,0.4991,0.5608,2.314E5,6.424E3,6.07E4,2.314E5,0.0255,1.0978,1.1956,,,3,1
65,0.5272,0.4991,0.5496,372.89604,372.89511,372.89706,1.55E5,4.232E3,6.444E4,1.55E5,0,1,100,,,,,,,,,DETECTED,372.89604,372.89511,372.89706,0.5272,0.4991,0.5496,1.55E5,4.232E3,6.444E4,1.55E5,0.0297,0.8999,0.7999,,,2,1
66,0.5272,0.4991,0.5719,394.88578,394.88455,394.88754,2.869E5,8.025E3,1.921E4,2.869E5,0,1,9,,,,,,,,,DETECTED,394.88578,394.88455,394.88754,0.5272,0.4991,0.5719,2.869E5,8.025E3,1.921E4,2.869E5,0.0217,1.703,2.6439,,,3,1
68,0.5272,0.4991,0.5719,440.87943,440.87674,440.8801,1.413E6,3.139E4,1.002E5,1.413E6,1,1,9,,,,,,,,,DETECTED,440.87943,440.87674,440.8801,0.5272,0.4991,0.5719,1.413E6,3.139E4,1.002E5,1.413E6,0.0171,1.5121,1.8925,1,-0.0025,5,1
76,0.5272,0.5092,0.5608,526.83615,526.83301,526.83813,2.042E5,4.513E3,2.3E4,2.042E5,0,1,9,,,,,,,,,DETECTED,526.83615,526.83301,526.83813,0.5272,0.5092,0.5608,2.042E5,4.513E3,2.3E4,2.042E5,0.0208,1.4309,2.5078,,,5,1
80,0.5272,0.514,0.5608,610.79862,610.79694,610.80237,1.366E5,3.181E3,4.75E4,1.366E5,0,1,,,,,,,,,,DETECTED,610.79862,610.79694,610.80237,0.5272,0.514,0.5608,1.366E5,3.181E3,4.75E4,1.366E5,0.0233,1.7755,2.5511,,,4,1
83,0.5389,0.4991,0.5828,244.93476,244.93433,244.93568,5.006E5,2.137E4,6.179E4,5.006E5,0,1,9,,,,,,,,,DETECTED,244.93476,244.93433,244.93568,0.5389,0.4991,0.5828,5.006E5,2.137E4,6.179E4,5.006E5,0.0397,1.0524,1.4477,,,4,1
84,0.5389,0.4991,0.6064,326.89964,326.89926,326.90061,2.386E6,9.526E4,9.261E4,2.386E6,1,1,9,,,,,,,,,DETECTED,326.89964,326.89926,326.90061,0.5389,0.4991,0.6064,2.386E6,9.526E4,9.261E4,2.386E6,0.0368,1.4403,1.9607,1,-0.0094,5,1
86,0.5389,0.4991,0.5938,328.89756,328.89685,328.89895,5.139E5,2.297E4,2.177E4,5.139E5,0,1,9,,,,,,,,,DETECTED,328.89756,328.89685,328.89895,0.5389,0.4991,0.5938,5.139E5,2.297E4,2.177E4,5.139E5,0.0452,1.4374,2.1455,,,5,1
87,0.5389,0.5092,0.5938,410.85994,410.85864,410.86057,2.066E6,8.084E4,8.192E4,2.066E6,1,1,9,,,,,,,,,DETECTED,410.85994,410.85864,410.86057,0.5389,0.5092,0.5938,2.066E6,8.084E4,8.192E4,2.066E6,0.0388,1.6209,2.2785,1,-0.0061,5,1
90,0.5496,0.514,0.5828,494.82189,494.82126,494.82358,3.687E5,1.518E4,8.658E4,3.687E5,1,1,9,,,,,,,,,DETECTED,494.82189,494.82126,494.82358,0.5496,0.514,0.5828,3.687E5,1.518E4,8.658E4,3.687E5,0.0484,0.9661,0.9321,1,0.0151,3,1
94,0.5608,0.4991,0.6371,128.95658,128.95581,128.95686,5.522E6,2.838E5,7.172E4,5.522E6,2,1,86,,,,,,,,,DETECTED,128.95658,128.95581,128.95686,0.5608,0.4991,0.6371,5.522E6,2.838E5,7.172E4,5.522E6,0.105,1.0802,1.0785,2,-0.0263,2,1
96,0.5608,0.514,0.6064,212.91845,212.91832,212.91931,8.201E5,3.701E4,5.896E4,8.201E5,1,1,86,,,,,,,,,DETECTED,212.91845,212.91832,212.91931,0.5608,0.514,0.6064,8.201E5,3.701E4,5.896E4,8.201E5,0.0335,1.0519,0.9142,1,-0.0072,2,1
97,0.5608,0.5092,0.6064,296.88037,296.87885,296.88055,2.497E6,1.045E5,2.604E4,2.497E6,2,1,86,,,,,,,,,DETECTED,296.88037,296.87885,296.88055,0.5608,0.5092,0.6064,2.497E6,1.045E5,2.604E4,2.497E6,0.0356,1.0639,0.928,2,-0.0246,3,1
100,0.5608,0.514,0.6064,380.84124,380.83917,380.84244,1.477E6,6.254E4,7.489E4,1.477E6,1,1,86,,,,,,,,,DETECTED,380.84124,380.83917,380.84244,0.5608,0.514,0.6064,1.477E6,6.254E4,7.489E4,1.477E6,0.0412,1.0687,0.9098,1,-0.015,3,1
102,0.5608,0.514,0.6064,464.80236,464.79916,464.80624,6.464E5,2.623E4,1.816E4,6.464E5,1,1,86,,,,,,,,,DETECTED,464.80236,464.79916,464.80624,0.5608,0.514,0.6064,6.464E5,2.623E4,1.816E4,6.464E5,0.0325,1.0813,0.9239,1,-0.0038,3,1
104,0.5608,0.5207,0.5938,548.76298,548.76105,548.76514,5.16E5,1.9E4,6.94E4,5.16E5,1,1,86,,,,,,,,,DETECTED,548.76298,548.76105,548.76514,0.5608,0.5207,0.5938,5.16E5,1.9E4,6.94E4,5.16E5,0.0367,0.9127,0.9397,1,0.0023,2,1
113,0.5828,0.5496,0.8258,275.01544,275.01418,275.01593,4.271E6,2.205E5,9.709E4,4.271E6,1,1,10,,,,,,,,,DETECTED,275.01544,275.01418,275.01593,0.5828,0.5496,0.8258,4.271E6,2.205E5,9.709E4,4.271E6,0.0321,4.8093,4.5481,1,-0.0053,3,1
122,0.5938,0.5272,0.7799,146.04279,146.04257,146.04295,1.306E6,1.274E5,7.366E4,1.306E6,1,,10,,,,,,,,,DETECTED,146.04279,146.04257,146.04295,0.5938,0.5272,0.7799,1.306E6,1.274E5,7.366E4,1.306E6,0.0659,2.2122,2.768,1,-0.0241,,
123,0.5938,0.5272,0.7869,161.04221,161.04155,161.04253,1.071E6,1.09E5,3.615E4,1.071E6,1,1,10,,,,,,,,,DETECTED,161.04221,161.04155,161.04253,0.5938,0.5272,0.7869,1.071E6,1.09E5,3.615E4,1.071E6,0.0611,2.3107,4.3075,1,0.0077,2,1
125,0.5938,0.5496,0.6371,180.92973,180.92844,180.93126,8.285E5,3.728E4,1.625E5,8.285E5,1,,10,,,,,,,,,DETECTED,180.92973,180.92844,180.93126,0.5938,0.5496,0.6371,8.285E5,3.728E4,1.625E5,8.285E5,0.0482,0.9897,1.1441,1,0.0106,,
127,0.5938,0.5272,0.8153,181.06942,181.06819,181.06967,1.651E8,1.459E7,9.326E4,1.651E8,5,1,10,0,[M-H]-,2,182.07666,132;127,,,,DETECTED,181.06942,181.06819,181.06967,0.5938,0.5272,0.8153,1.651E8,1.459E7,9.326E4,1.651E8,0.1168,2.5141,2.813,5,-0.0498,3,1
130,0.5938,0.5272,0.8153,182.07168,182.0714,182.07205,8.54E6,7.026E5,3.555E5,8.54E6,2,1,10,,,,,,,,,DETECTED,182.07168,182.0714,182.07205,0.5938,0.5272,0.8153,8.54E6,7.026E5,3.555E5,8.54E6,0.0797,2.158,2.4371,2,0.1597,4,1
131,0.5938,0.5207,0.7959,225.05925,225.05864,225.05969,1.271E6,1.202E5,8.888E4,1.271E6,1,,10,,,,,,,,,DETECTED,225.05925,225.05864,225.05969,0.5938,0.5207,0.7959,1.271E6,1.202E5,8.888E4,1.271E6,0.0651,1.9473,2.7832,1,-0.0353,,
132,0.5938,0.5272,0.7869,227.07484,227.07446,227.07542,9.16E6,6.283E5,2.95E5,9.16E6,4,1,10,0,[M+FA]-,2,182.07666,132;127,,,,DETECTED,227.07484,227.07446,227.07542,0.5938,0.5272,0.7869,9.16E6,6.283E5,2.95E5,9.16E6,0.0387,2.026,2.3305,4,-0.0464,3,1
133,0.6064,0.5608,0.899,341.107,341.10538,341.1091,9.598E5,1.211E5,6.12E4,9.598E5,2,1,10,1,[M-H]-,2,342.11418,134;133,,,,DETECTED,341.107,341.10538,341.1091,0.6064,0.5608,0.899,9.598E5,1.211E5,6.12E4,9.598E5,0.0882,3.8256,5.7012,2,0.0144,2,1
134,0.6064,0.5272,0.8423,387.1123,387.11157,387.11383,3.331E6,3.774E5,1.826E4,3.331E6,4,1,10,1,[M+FA]-,2,342.11418,134;133,,,,DETECTED,387.1123,387.11157,387.11383,0.6064,0.5272,0.8423,3.331E6,3.774E5,1.826E4,3.331E6,0.1229,3.2855,4.5613,4,-0.0271,4,1
136,0.6169,0.5496,0.8153,135.02672,135.02618,135.02701,6.913E6,3.982E5,1.33E5,6.913E6,3,1,10,,,,,,,,,DETECTED,135.02672,135.02618,135.02701,0.6169,0.5496,0.8153,6.913E6,3.982E5,1.33E5,6.913E6,0.0898,1.8488,2.0498,3,-0.036,3,1
137,0.6169,0.5496,1.169,165.03686,165.03606,165.03786,1.442E6,1.14E5,1.139E4,1.442E6,1,1,10,,,,,,,,,DETECTED,165.03686,165.03606,165.03786,0.6169,0.5496,1.169,1.442E6,1.14E5,1.139E4,1.442E6,0.0946,1.6247,2.0898,1,-0.002,2,1
138,0.6169,0.5496,0.899,191.05394,191.05251,191.0542,2.201E8,1.782E7,8.928E5,2.201E8,6,1,10,2,[M-H]-,2,192.06109,138;150,,,,DETECTED,191.05394,191.05251,191.0542,0.6169,0.5496,0.899,2.201E8,1.782E7,8.928E5,2.201E8,0.0922,2.3272,3.0902,6,-0.0504,6,1
145,0.6169,0.5272,0.8258,195.04805,195.0477,195.04869,4.086E6,3.766E5,6.216E4,4.086E6,3,1,10,3,[M+FA]-,2,150.04974,177;145,,,,DETECTED,195.04805,195.0477,195.04869,0.6169,0.5272,0.8258,4.086E6,3.766E5,6.216E4,4.086E6,0.1193,1.4889,1.6553,3,-0.0488,6,1
147,0.6169,0.5389,0.7869,217.04575,217.04521,217.04683,1.582E6,1.055E5,5.094E4,1.582E6,1,1,10,,,,,,,,,DETECTED,217.04575,217.04521,217.04683,0.6169,0.5389,0.7869,1.582E6,1.055E5,5.094E4,1.582E6,0.0629,1.555,2.3579,1,-0.0137,2,1
150,0.6169,0.5496,0.899,237.05917,237.05855,237.06015,1.127E6,1.175E5,3.206E4,1.127E6,1,,10,2,[M+FA]-,2,192.06109,138;150,,,,DETECTED,237.05917,237.05855,237.06015,0.6169,0.5496,0.899,1.127E6,1.175E5,3.206E4,1.127E6,0.0961,1.6597,2.3924,1,0.0441,,
153,0.6169,0.5608,0.8258,277.0308,277.03003,277.03177,1.644E6,1.637E5,7.148E4,1.644E6,2,,10,,,,,,,,,DETECTED,277.0308,277.03003,277.03177,0.6169,0.5608,0.8258,1.644E6,1.637E5,7.148E4,1.644E6,0.0909,2.5197,3.3625,2,0.0288,,
154,0.6169,0.5496,0.8513,279.04659,279.04575,279.04749,3.978E6,3.427E5,1.074E5,3.978E6,3,1,10,,,,,,,,,DETECTED,279.04659,279.04575,279.04749,0.6169,0.5496,0.8513,3.978E6,3.427E5,1.074E5,3.978E6,0.0716,1.9966,3.3404,3,-0.0267,2,1
156,0.6169,0.5938,0.8153,365.07143,365.07065,365.07251,8.947E5,6.647E4,4.648E4,8.947E5,0,1,10,,,,,,,,,DETECTED,365.07143,365.07065,365.07251,0.6169,0.5938,0.8153,8.947E5,6.647E4,4.648E4,8.947E5,0.0537,4.4563,13.6301,,,2,1
157,0.6169,0.5608,0.8513,371.11791,371.11481,371.11938,3.888E6,2.611E5,3.326E4,3.888E6,2,1,10,,,,,,,,,DETECTED,371.11791,371.11481,371.11938,0.6169,0.5608,0.8513,3.888E6,2.611E5,3.326E4,3.888E6,0.061,1.7344,2.2114,2,-0.0284,2,1
158,0.6169,0.5496,0.8153,373.13356,373.13098,373.13477,1.07E7,6.832E5,6.159E4,1.07E7,3,1,10,,,,,,,,,DETECTED,373.13356,373.13098,373.13477,0.6169,0.5496,0.8153,1.07E7,6.832E5,6.159E4,1.07E7,0.0711,1.9239,1.9842,3,-0.0301,3,1
160,0.6169,0.5608,0.7141,421.0718,421.07028,421.07312,1.969E6,1.157E5,9.081E4,1.969E6,1,1,10,,,,,,,,,DETECTED,421.0718,421.07028,421.07312,0.6169,0.5608,0.7141,1.969E6,1.157E5,9.081E4,1.969E6,0.0488,1.7353,1.7188,1,-0.025,3,1
161,0.6169,0.5719,0.8258,533.16862,533.16479,533.17065,3.568E6,2.137E5,1.715E4,3.568E6,2,1,10,,,,,,,,,DETECTED,533.16862,533.16479,533.17065,0.6169,0.5719,0.8258,3.568E6,2.137E5,1.715E4,3.568E6,0.0541,2.1845,5.0616,2,-0.0053,2,1
163,0.627,0.5272,0.8153,179.05336,179.05307,179.05371,4.699E6,5.721E5,2.811E4,4.699E6,5,1,10,,,,,,,,,DETECTED,179.05336,179.05307,179.05371,0.627,0.5272,0.8153,4.699E6,5.721E5,2.811E4,4.699E6,0.1199,2.274,1.7586,5,-0.0718,3,1
165,0.627,0.5608,0.899,209.06436,209.06343,209.06517,1.57E6,1.263E5,2.793E4,1.57E6,2,1,10,,,,,,,,,DETECTED,209.06436,209.06343,209.06517,0.627,0.5608,0.899,1.57E6,1.263E5,2.793E4,1.57E6,0.1373,2.1053,4.4118,2,0.0065,2,1
